normalized_id,source_id,source_record_id,raw_file_id,original_name,normalized_name,name_ta,name_hi,mode,stop_type,original_latitude,original_longitude,normalized_latitude,normalized_longitude,coordinate_plausible,inside_cma,parent_station,agency,operational_status
GTFS_STOP_7579,CHENNAI_COMMUNITY_GTFS,7579,CHENNAI_UNIFIED_GTFS_20260918,Vadaperumbakkam,Vadaperumbakkam,,,bus,bus_stop,13.17533,80.21526,13.17533,80.21526,True,True,,MTC,operational
GTFS_STOP_7584,CHENNAI_COMMUNITY_GTFS,7584,CHENNAI_UNIFIED_GTFS_20260918,Veerapuram Road Junction,Veerapuram Road Junction,,,bus,bus_stop,13.17589,80.08449,13.17589,80.08449,True,True,,MTC,operational
GTFS_STOP_7580,CHENNAI_COMMUNITY_GTFS,7580,CHENNAI_UNIFIED_GTFS_20260918,Vadaperumbakkam,Vadaperumbakkam,,,bus,bus_stop,13.17534,80.21581,13.17534,80.21581,True,True,,MTC,operational
GTFS_STOP_7583,CHENNAI_COMMUNITY_GTFS,7583,CHENNAI_UNIFIED_GTFS_20260918,Veerapuram Road Junction,Veerapuram Road Junction,,,bus,bus_stop,13.17588,80.08483,13.17588,80.08483,True,True,,MTC,operational
GTFS_STOP_7581,CHENNAI_COMMUNITY_GTFS,7581,CHENNAI_UNIFIED_GTFS_20260918,Vadaperumbakkam,Vadaperumbakkam,,,bus,bus_stop,13.17547,80.21531,13.17547,80.21531,True,True,,MTC,operational
GTFS_STOP_7582,CHENNAI_COMMUNITY_GTFS,7582,CHENNAI_UNIFIED_GTFS_20260918,Sathangadu Police Station,Sathangadu Police Station,,,bus,bus_stop,13.17547,80.28664,13.17547,80.28664,True,True,,MTC,operational
GTFS_STOP_7585,CHENNAI_COMMUNITY_GTFS,7585,CHENNAI_UNIFIED_GTFS_20260918,Thandal Kazhani,Thandal Kazhani,,,bus,bus_stop,13.176,80.19616,13.176,80.19616,True,True,,MTC,operational
GTFS_STOP_8305,CHENNAI_COMMUNITY_GTFS,8305,CHENNAI_UNIFIED_GTFS_20260918,Okkiam Thoraipakkam,Okkiam Thoraipakkam,,,bus,bus_stop,12.93797,80.24117,12.93797,80.24117,True,True,,MTC,operational
GTFS_STOP_8307,CHENNAI_COMMUNITY_GTFS,8307,CHENNAI_UNIFIED_GTFS_20260918,Tambaram Sanatorium Railway Station,Tambaram Sanatorium Railway Station,,,bus,bus_stop,12.93811,80.13304,12.93811,80.13304,True,True,,MTC,operational
GTFS_STOP_8308,CHENNAI_COMMUNITY_GTFS,8308,CHENNAI_UNIFIED_GTFS_20260918,Pillaiyar Kovil,Pillaiyar Kovil,,,bus,bus_stop,12.9384,80.17546,12.9384,80.17546,True,True,,MTC,operational
GTFS_STOP_8309,CHENNAI_COMMUNITY_GTFS,8309,CHENNAI_UNIFIED_GTFS_20260918,Pillaiyar Kovil,Pillaiyar Kovil,,,bus,bus_stop,12.93842,80.17544,12.93842,80.17544,True,True,,MTC,operational
GTFS_STOP_5432,CHENNAI_COMMUNITY_GTFS,5432,CHENNAI_UNIFIED_GTFS_20260918,Airport Service Road (Palavanthangal),Airport Service Road (Palavanthangal),,,bus,bus_stop,12.99403,80.18546,12.99403,80.18546,True,True,,MTC,operational
GTFS_STOP_10928,CHENNAI_COMMUNITY_GTFS,10928,CHENNAI_UNIFIED_GTFS_20260918,Nair Road,Nair Road,,,bus,bus_stop,13.04112,80.2407,13.04112,80.2407,True,True,,MTC,operational
GTFS_STOP_8310,CHENNAI_COMMUNITY_GTFS,8310,CHENNAI_UNIFIED_GTFS_20260918,Vettuvakeni,Vettuvakeni,,,bus,bus_stop,12.93842,80.25255,12.93842,80.25255,True,True,,MTC,operational
GTFS_STOP_8311,CHENNAI_COMMUNITY_GTFS,8311,CHENNAI_UNIFIED_GTFS_20260918,Vettuvakeni,Vettuvakeni,,,bus,bus_stop,12.93851,80.2528,12.93851,80.2528,True,True,,MTC,operational
GTFS_STOP_8312,CHENNAI_COMMUNITY_GTFS,8312,CHENNAI_UNIFIED_GTFS_20260918,Naduveerapattu Bus Stand,Naduveerapattu Bus Stand,,,bus,bus_stop,12.9387,80.05494,12.9387,80.05494,True,True,,MTC,operational
GTFS_STOP_8314,CHENNAI_COMMUNITY_GTFS,8314,CHENNAI_UNIFIED_GTFS_20260918,Varadharajapuram Kishkinda,Varadharajapuram Kishkinda,,,bus,bus_stop,12.9387,80.08358,12.9387,80.08358,True,True,,MTC,operational
GTFS_STOP_8315,CHENNAI_COMMUNITY_GTFS,8315,CHENNAI_UNIFIED_GTFS_20260918,Nanmangalam Park,Nanmangalam Park,,,bus,bus_stop,12.93877,80.17855,12.93877,80.17855,True,True,,MTC,operational
GTFS_STOP_5721,CHENNAI_COMMUNITY_GTFS,5721,CHENNAI_UNIFIED_GTFS_20260918,E.S.I Hospital Ayanavaram,E.S.I Hospital Ayanavaram,,,bus,bus_stop,13.09477,80.24139,13.09477,80.24139,True,True,,MTC,operational
GTFS_STOP_8313,CHENNAI_COMMUNITY_GTFS,8313,CHENNAI_UNIFIED_GTFS_20260918,Mambakkam,Mambakkam,,,bus,bus_stop,12.93865,79.91428,12.93865,79.91428,True,True,,MTC,operational
GTFS_STOP_8316,CHENNAI_COMMUNITY_GTFS,8316,CHENNAI_UNIFIED_GTFS_20260918,Nanmangalam Park,Nanmangalam Park,,,bus,bus_stop,12.93883,80.17859,12.93883,80.17859,True,True,,MTC,operational
GTFS_STOP_8317,CHENNAI_COMMUNITY_GTFS,8317,CHENNAI_UNIFIED_GTFS_20260918,Vijayalakshmi,Vijayalakshmi,,,bus,bus_stop,12.93904,80.17196,12.93904,80.17196,True,True,,MTC,operational
GTFS_STOP_8318,CHENNAI_COMMUNITY_GTFS,8318,CHENNAI_UNIFIED_GTFS_20260918,Vijayalakshmi,Vijayalakshmi,,,bus,bus_stop,12.93907,80.17198,12.93907,80.17198,True,True,,MTC,operational
GTFS_STOP_8319,CHENNAI_COMMUNITY_GTFS,8319,CHENNAI_UNIFIED_GTFS_20260918,Kovilambakkam,Kovilambakkam,,,bus,bus_stop,12.93915,80.18233,12.93915,80.18233,True,True,,MTC,operational
GTFS_STOP_8321,CHENNAI_COMMUNITY_GTFS,8321,CHENNAI_UNIFIED_GTFS_20260918,Mettukuppam,Mettukuppam,,,bus,bus_stop,12.93915,80.23519,12.93915,80.23519,True,True,,MTC,operational
GTFS_STOP_8322,CHENNAI_COMMUNITY_GTFS,8322,CHENNAI_UNIFIED_GTFS_20260918,Samathuva Periyar Nagar,Samathuva Periyar Nagar,,,bus,bus_stop,12.93921,80.08883,12.93921,80.08883,True,True,,MTC,operational
GTFS_STOP_7806,CHENNAI_COMMUNITY_GTFS,7806,CHENNAI_UNIFIED_GTFS_20260918,Poochi Athipet,Poochi Athipet,,,bus,bus_stop,13.21267,80.08736,13.21267,80.08736,True,True,,MTC,operational
GTFS_STOP_8323,CHENNAI_COMMUNITY_GTFS,8323,CHENNAI_UNIFIED_GTFS_20260918,Mettukuppam,Mettukuppam,,,bus,bus_stop,12.93923,80.23561,12.93923,80.23561,True,True,,MTC,operational
GTFS_STOP_8324,CHENNAI_COMMUNITY_GTFS,8324,CHENNAI_UNIFIED_GTFS_20260918,Varadharajapuram Kishkinda,Varadharajapuram Kishkinda,,,bus,bus_stop,12.93938,80.08305,12.93938,80.08305,True,True,,MTC,operational
