normalized_route_id,source_id,source_route_id,agency,route_short_name,route_long_name,mode,route_type,status
GTFS_ROUTE_10845,CHENNAI_COMMUNITY_GTFS,10845,MTC,111Et,M.G.R.Koyambedu TO Kilambakkam B.T,bus,3,operational
GTFS_ROUTE_13046,CHENNAI_COMMUNITY_GTFS,13046,MTC,C56CEt,Air Nagar TO Thiruvotriyur B.T,bus,3,operational
GTFS_ROUTE_21047,CHENNAI_COMMUNITY_GTFS,21047,MTC,32B CT8,Tondiarpet TO Korukkupet R.S,bus,3,operational
GTFS_ROUTE_22496,CHENNAI_COMMUNITY_GTFS,22496,MTC,142B CT1,Island ground TO Thanikachalam nagar,bus,3,operational
GTFS_ROUTE_13150,CHENNAI_COMMUNITY_GTFS,13150,MTC,M88Et,Iyyappanthangal TO Nandambakkam Village,bus,3,operational
GTFS_ROUTE_13151,CHENNAI_COMMUNITY_GTFS,13151,MTC,M88Et,Nandambakkam Village TO Vadapalani,bus,3,operational
GTFS_ROUTE_13155,CHENNAI_COMMUNITY_GTFS,13155,MTC,M88Et,Vadapalani TO Nandambakkam Village,bus,3,operational
GTFS_ROUTE_21053,CHENNAI_COMMUNITY_GTFS,21053,MTC,157 CT3,Redhills Bus Terminus TO Tondiarpet,bus,3,operational
GTFS_ROUTE_21054,CHENNAI_COMMUNITY_GTFS,21054,MTC,157 CT1,Redhills Bus Terminus TO  Vallalar Nagar,bus,3,operational
GTFS_ROUTE_11906,CHENNAI_COMMUNITY_GTFS,11906,MTC,55Et,Mannivakkam K.K.Nagar TO Tambaram West,bus,3,operational
GTFS_ROUTE_11907,CHENNAI_COMMUNITY_GTFS,11907,MTC,55Et,Mannivakkam Rd.Jn. TO Tambaram West,bus,3,operational
GTFS_ROUTE_9379,CHENNAI_COMMUNITY_GTFS,9379,MTC,570P,M.G.R.Koyambedu TO Anna Nagar West,bus,3,operational
GTFS_ROUTE_11908,CHENNAI_COMMUNITY_GTFS,11908,MTC,55Et,Tambaram West TO Mannivakkam K.K.Nagar,bus,3,operational
GTFS_ROUTE_11909,CHENNAI_COMMUNITY_GTFS,11909,MTC,55Et,Tambaram West TO Mannivakkam Rd.Jn.,bus,3,operational
GTFS_ROUTE_12101,CHENNAI_COMMUNITY_GTFS,12101,MTC,570P,Kelambakkam TO Perumpakkam S.C.B,bus,3,operational
GTFS_ROUTE_12102,CHENNAI_COMMUNITY_GTFS,12102,MTC,570P,M.G.R.Koyambedu TO Kelambakkam,bus,3,operational
GTFS_ROUTE_12103,CHENNAI_COMMUNITY_GTFS,12103,MTC,570P,M.G.R.Koyambedu TO Perumpakkam S.C.B,bus,3,operational
GTFS_ROUTE_21057,CHENNAI_COMMUNITY_GTFS,21057,MTC,157 CT6,Tondiarpet TO Thiruvotriyur B.T,bus,3,operational
GTFS_ROUTE_21056,CHENNAI_COMMUNITY_GTFS,21056,MTC,157 CT4,Thiruvotriyur B.T TO Tondiarpet,bus,3,operational
GTFS_ROUTE_21061,CHENNAI_COMMUNITY_GTFS,21061,MTC,159 CT5,Tondiarpet TO M.G.R.Koyambedu,bus,3,operational
GTFS_ROUTE_21058,CHENNAI_COMMUNITY_GTFS,21058,MTC,157 CT5,V.Nagar TO Redhills Bus Terminus,bus,3,operational
GTFS_ROUTE_21059,CHENNAI_COMMUNITY_GTFS,21059,MTC,159 CT3,M.G.R.Koyambedu TO Tondiarpet,bus,3,operational
GTFS_ROUTE_21060,CHENNAI_COMMUNITY_GTFS,21060,MTC,159 CT6,Thiruvottiyur Bus Stand TO Tondiarpet,bus,3,operational
GTFS_ROUTE_21062,CHENNAI_COMMUNITY_GTFS,21062,MTC,159 CT4,Tondiarpet TO Thiruverkadu,bus,3,operational
GTFS_ROUTE_21063,CHENNAI_COMMUNITY_GTFS,21063,MTC,159 CT7,Tondiarpet TO Thiruvottiyur Bus Stand,bus,3,operational
GTFS_ROUTE_21067,CHENNAI_COMMUNITY_GTFS,21067,MTC,159  R3,Thiruverkadu TO Thiruvotriyur B.T,bus,3,operational
GTFS_ROUTE_21070,CHENNAI_COMMUNITY_GTFS,21070,MTC,28A R2,Manali New Town TO Egmore North R.S,bus,3,operational
GTFS_ROUTE_21071,CHENNAI_COMMUNITY_GTFS,21071,MTC,28A CT1,Manali New Town TO Thangal Tollgate,bus,3,operational
GTFS_ROUTE_21072,CHENNAI_COMMUNITY_GTFS,21072,MTC,28A CT2,Manali New Town TO Vallalar Nagar,bus,3,operational
GTFS_ROUTE_21073,CHENNAI_COMMUNITY_GTFS,21073,MTC,28A CT3,Thangal Tollgate TO Manali New Town,bus,3,operational
GTFS_ROUTE_21074,CHENNAI_COMMUNITY_GTFS,21074,MTC,28A CT4,Vallalar Nagar TO Manali New Town,bus,3,operational
GTFS_ROUTE_21077,CHENNAI_COMMUNITY_GTFS,21077,MTC,28B R1,Ennore TO Egmore North R.S,bus,3,operational
GTFS_ROUTE_10114,CHENNAI_COMMUNITY_GTFS,10114,MTC,21EEt,Thiruvanmiyur TO Iyyappanthangal,bus,3,operational
GTFS_ROUTE_15923,CHENNAI_COMMUNITY_GTFS,15923,MTC,M52Et,Pallavaram TO Chrompet-1 Depot,bus,3,operational
