entity_id,canonical_name,candidate_alias,candidate_type,language,source_if_any,requires_human_confirmation
OSM_RAIL_217954831,Basin Bridge Junction,பேசின் பிரிட்ஜ் சந்திப்பு,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_235931387,Villivakkam,வில்லிவாக்கம்,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_393560244,Shenoy Nagar Metro,செனாய் நகர்,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_1115820281,Chennai Suburban Terminal (Moore Market Complex),சென்னை புறநகர் முனையம்,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_1314817095,Anna Nagar Tower,அண்ணா நகர் கோபுரம்,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_1314817096,Thirumangalam,திருமங்கலம்,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_1314817097,Anna Nagar East,அண்ணா நகர் கிழக்கு,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5306412986,Madurantakam,மதுராந்தகம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5273662388,Chengalpatttu Junction,செங்கல்பட்டு சந்திப்பு,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3725756379,Palur,பாலூர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5311775876,Singaperumal Koil,சிங்கப்பெருமாள் கோயில்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_261716103,Kanchipuram East,காஞ்சிபுரம் கிழக்கு,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_256777901,Kanchipuram,காஞ்சிபுரம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5274260962,Guduvancheri,கூடுவாஞ்சேரி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_11822901092,Kilambakkam,கிளாம்பாக்கம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5311775879,Vandalur,வண்டலூர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_4767159308,Perungalattur,பெருங்களத்தூர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5304399879,Tambaram Kulam Bus stop,தாம்பரம் குளம் பேருந்து நிறுத்தம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3261251830,Chemmanchery,செம்மஞ்சேரிகுப்பம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5286945822,Tambaram,தாம்பரம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5311775880,Tambaram Sanatorium,தாம்பரம் தாம்பரம் சானடோரியம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_560212201,Nehru nagar,நேரு நகர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5273733276,Chromepet,குரோம்பேட்டை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_6166092572,Chrompet,குரோம்பேட்டை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_1711224934,கோவிலாம்பாக்கம்,கோவிலாம்பாக்கம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_2077234674,Pallikaranai,பள்ளிக்கரணை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_310592291,Axis bank,ஆக்ஸிஸ் வங்கி,official_tamil,ta,OSM_OVERPASS,False
